"lemon64_name"	"lemon64_id"	"lemon64_slug"	"atari_legend_id"
"Footballer of the Year 2"	953	"footballer-of-the-year-2"	396
"Forgotten Worlds"	959	"forgotten-worlds"	1072
"Frankenstein"	968	"frankenstein-zeppelin-games"	1076
"Frost Byte"	993	"frost-byte"	182
"Fugger"	999	"fugger"	3657
"Future Bike Simulator"	1002	"future-bike-simulator"	1084
"Galdregon's Domain"	1013	"galdregons-domain"	1091
"Game Over II"	1016	"game-over-2"	1092
"Garfield: Big, Fat, Hairy Deal"	1024	"garfield-big-fat-hairy-deal"	143
"Garfield: Winter's Tail"	1025	"garfield-winters-tail"	1094
"Gauntlet"	1031	"gauntlet"	1812
"Gauntlet III: The Final Quest"	1033	"gauntlet-3-the-final-quest"	1096
"Gauntlet II"	1034	"gauntlet-2"	4
"GBA Championship Basketball: Two-on-Two"	1036	"gba-championship-basketball"	1148
"Gemini Wing"	1038	"gemini-wing"	1099
"Gem'X"	1040	"gemx"	1101
"Ghostbusters II"	1049	"ghostbusters-2"	1107
"Ghosts 'n Goblins"	1050	"ghosts-n-goblins"	521
"Ghouls 'n Ghosts"	1053	"ghouls-n-ghosts"	1109
"Gilbert: Escape from Drill"	1055	"gilbert-escape-from-drill"	320
"G-Loc R360"	1060	"g-loc-r360"	1113
"Glücksrad"	1061	"glucksrad"	1114
"Gnome Ranger"	1062	"gnome-ranger"	1115
"Golden Axe"	1068	"golden-axe"	1119
"Goldrunner"	1071	"goldrunner"	23
"Goofy's Railway Express"	1073	"goofys-railway-express"	4809
"Graeme Souness Soccer Manager"	1078	"graeme-souness-soccer-manager"	1126
"Graffiti Man"	1079	"graffiti-man"	1848
"Grand Monster Slam"	1082	"grand-monster-slam"	2253
"Grand Prix Master"	1084	"grand-prix-master"	371
"Great Courts"	1089	"great-courts"	1133
"Great Giana Sisters, The"	1091	"great-giana-sisters"	1824
"Greg Norman's Ultimate Golf"	1098	"greg-normans-ultimate-golf"	1135
"Gremlins 2: The New Batch"	1101	"gremlins-2"	566
"Gridrunner"	1106	"gridrunner"	285
"Guardian Angel, The"	1114	"guardian-angel"	1077
"Guild of Thieves, The"	1116	"guild-of-thieves"	1141
"Gunship"	1123	"gunship"	1142
"H.A.T.E. - Hostile All Terrain Encounter"	1130	"hate"	1889
"Hacker"	1132	"hacker"	1874
"Hacker II: The Doomsday Papers"	1133	"hacker-2"	1875
"Hammer Boy"	1139	"hammer-boy"	3905
"Hammerfist"	1140	"hammerfist"	528
"Hanse"	1142	"hanse"	3627
"Hard Drivin'"	1145	"hard-drivin"	24
"Hard 'n' Heavy"	1147	"hard-n-heavy"	1881
"HardBall!"	1148	"hardball"	1884
"Hawkeye"	1154	"hawkeye"	301
"Head over Heels"	1158	"head-over-heels"	1894
"Heavy Metal"	1166	"heavy-metal"	543
"Hellfire"	1174	"hellfire"	170
"Helter Skelter"	1179	"helter-skelter"	3629
"HeroQuest"	1189	"heroquest"	1906
"Heroes of the Lance"	1192	"heroes-of-the-lance"	1907
"Highway Encounter"	1203	"highway-encounter"	6406
"Hillsfar"	1204	"hillsfar"	1914
"Hitchhiker's Guide to the Galaxy, The"	1205	"hitchhikers-guide-to-the-galaxy"	3447
"Hollywood Hijinx"	1213	"hollywood-hijinx"	3459
"Hollywood Poker"	1215	"hollywood-poker"	1918
"Hollywood Poker Pro"	1216	"hollywood-poker-pro"	1919
